Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,create_date,version,chip_antibody,chip_antibody_vendor,tissue/cell_type,Developmental_Stage,,need
SRR3105391,ChIP-Seq,202,1928886688,PRJNA309055,SAMN04419955,1088872849,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533815,GSM2041066,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041066,Mature sperm,SRP068549,PWK,2016-01-18T10:00:00Z,1,H3K27Me3,Diagenode,Mature sperm,,,1
SRR3105393,ChIP-Seq,51,1107543183,PRJNA309055,SAMN04419955,533924088,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533815,GSM2041066,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041066,Mature sperm,SRP068549,PWK,2016-01-18T10:01:00Z,1,H3K27Me3,Diagenode,Mature sperm,,,1
SRR3105394,ChIP-Seq,51,2429677740,PRJNA309055,SAMN04419956,1235150564,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533816,GSM2041067,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041067,Growing oocyte,SRP068549,C57BL/6N,2016-01-18T10:04:00Z,1,H3K27Me3,Diagenode,Growing oocyte,,,0
SRR3105395,ChIP-Seq,252,18675749232,PRJNA309055,SAMN04419956,7944879192,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533816,GSM2041067,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041067,Growing oocyte,SRP068549,C57BL/6N,2016-01-18T10:38:00Z,1,H3K27Me3,Diagenode,Growing oocyte,,,0
SRR3105396,ChIP-Seq,202,5883005580,PRJNA309055,SAMN04419957,3502224929,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533817,GSM2041068,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041068,Growing oocyte,SRP068549,C57BL/6N,2016-01-18T10:11:00Z,1,H3K27Me3,Diagenode,Growing oocyte,,,1
SRR3105397,ChIP-Seq,252,3999598596,PRJNA309055,SAMN04419957,1514517586,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533817,GSM2041068,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041068,Growing oocyte,SRP068549,C57BL/6N,2016-01-18T10:06:00Z,1,H3K27Me3,Diagenode,Growing oocyte,,,1
SRR3105398,ChIP-Seq,202,2330539246,PRJNA309055,SAMN04419958,1459692906,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533818,GSM2041069,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041069,GV oocyte,SRP068549,C57BL/6N,2016-01-18T09:56:00Z,1,H3K27Me3,Diagenode,GV oocyte,,,1
SRR3105399,ChIP-Seq,252,4000582404,PRJNA309055,SAMN04419958,1530591706,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533818,GSM2041069,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041069,GV oocyte,SRP068549,C57BL/6N,2016-01-18T09:58:00Z,1,H3K27Me3,Diagenode,GV oocyte,,,1
SRR3105400,ChIP-Seq,202,10775316502,PRJNA309055,SAMN04419959,6725959677,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533819,GSM2041070,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041070,MII oocyte,SRP068549,C57BL/6N,2016-01-18T10:18:00Z,1,H3K27Me3,Diagenode,MII oocyte,,,1
SRR3105401,ChIP-Seq,252,1035178704,PRJNA309055,SAMN04419960,513686170,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533820,GSM2041071,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041071,MII oocyte,SRP068549,C57BL/6N,2016-01-18T09:54:00Z,1,H3K27Me3,Diagenode,MII oocyte,,,1
