Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,create_date,version,Developmental_Stage,chip_antibody,tissue,chip_antibody_vendor,,need
SRR3309387,ChIP-Seq,252,4383796536,PRJNA292073,SAMN04589805,1628599682,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1668473,GSM2101163,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2101163,Sperm,SRP062106,PWK,2016-03-29T13:00:00Z,1,,custom-made H3K4Me3 antibody (Abmart),Sperm,,,1
SRR3309954,ChIP-Seq,202,14701021266,PRJNA292073,SAMN03979652,7515198540,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134820,GSM1845283,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845283,Preimplantation embryo,SRP062106,C57BL/6N x PWK,2016-03-29T18:40:00Z,1,Preimplantation embryo,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR3309955,ChIP-Seq,252,2459105460,PRJNA292073,SAMN03979652,899966354,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134820,GSM1845283,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845283,Preimplantation embryo,SRP062106,C57BL/6N x PWK,2016-03-29T17:53:00Z,1,Preimplantation embryo,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR4014428,ChIP-Seq,51,1619086443,PRJNA292073,SAMN03979627,1259441580,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134795,GSM1845258,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845258,Growing oocyte,SRP062106,C57BL/6N,2016-08-09T11:02:00Z,1,Growing oocyte,custom-made H3K4Me3 antibody (Abmart),,,,0
SRR4014429,ChIP-Seq,202,4343140996,PRJNA292073,SAMN03979627,2825853161,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134795,GSM1845258,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845258,Growing oocyte,SRP062106,C57BL/6N,2016-08-09T11:06:00Z,1,Growing oocyte,custom-made H3K4Me3 antibody (Abmart),,,,0
SRR4014430,ChIP-Seq,202,7320951064,PRJNA292073,SAMN03979628,4622003865,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134796,GSM1845259,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845259,Growing oocyte,SRP062106,C57BL/6N,2016-08-09T11:17:00Z,1,Growing oocyte,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR4014431,ChIP-Seq,202,5897628966,PRJNA292073,SAMN03979629,3341816276,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134797,GSM1845260,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845260,Growing oocyte,SRP062106,C57BL/6N,2016-08-09T11:11:00Z,1,Growing oocyte,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR4014432,ChIP-Seq,202,6692519570,PRJNA292073,SAMN03979630,4106176753,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134798,GSM1845261,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845261,GV oocyte,SRP062106,C57BL/6N,2016-08-09T11:16:00Z,1,GV oocyte,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR4014433,ChIP-Seq,250,2094310250,PRJNA292073,SAMN03979631,921164585,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134799,GSM1845262,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845262,MII oocyte,SRP062106,C57BL/6N,2016-08-09T11:00:00Z,1,MII oocyte,custom-made H3K4Me3 antibody (Abmart),,,,1
SRR4014434,ChIP-Seq,202,2632508238,PRJNA292073,SAMN03979631,1652028174,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1134799,GSM1845262,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM1845262,MII oocyte,SRP062106,C57BL/6N,2016-08-09T11:01:00Z,1,MII oocyte,custom-made H3K4Me3 antibody (Abmart),,,,1
