Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,embryo_type,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,embryo_type_in_silico,methods,antibody,Developmental_Stage,tissue,need
SRR35669947,ChIP-Seq,222,9929325624,PRJNA1336237,SAMN52066019,3166556896,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",P1PN,SRX30721676,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269065,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:27:00Z,1,GSM9269065,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,0
SRR35669948,ChIP-Seq,222,7614942324,PRJNA1336237,SAMN52066020,2455274629,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",P1PN,SRX30721675,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269064,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:23:00Z,1,GSM9269064,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,0
SRR35669949,ChIP-Seq,222,8413726962,PRJNA1336237,SAMN52066021,2681433604,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",AG,SRX30721674,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269063,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:26:00Z,1,GSM9269063,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669950,ChIP-Seq,222,6165424626,PRJNA1336237,SAMN52066022,1977379068,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",AG,SRX30721673,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269062,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:23:00Z,1,GSM9269062,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669951,ChIP-Seq,222,8956763160,PRJNA1336237,SAMN52066023,2866964270,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",PG,SRX30721672,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269061,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269061,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669952,ChIP-Seq,222,7582711698,PRJNA1336237,SAMN52066024,2423338544,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",PG,SRX30721671,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269060,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269060,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669953,ChIP-Seq,222,10479610788,PRJNA1336237,SAMN52066025,3331005689,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2PN,SRX30721670,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269059,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:25:00Z,1,GSM9269059,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669954,ChIP-Seq,222,9102006660,PRJNA1336237,SAMN52066026,2909540348,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX30721669,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269058,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:25:00Z,1,GSM9269058,embryo,SRP629632,,,,H3K27me3,Zygote,embryo,1
SRR35669963,ChIP-Seq,222,6315299490,PRJNA1336237,SAMN52066035,1966664651,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",P1PN,SRX30721660,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269049,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:23:00Z,1,GSM9269049,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,0
SRR35669964,ChIP-Seq,222,4768802424,PRJNA1336237,SAMN52066036,1475407180,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",P1PN,SRX30721659,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269048,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269048,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,0
SRR35669965,ChIP-Seq,222,6189705432,PRJNA1336237,SAMN52066037,1917944022,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",AG,SRX30721658,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269047,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:25:00Z,1,GSM9269047,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669966,ChIP-Seq,222,5169565482,PRJNA1336237,SAMN52066038,1600008617,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",AG,SRX30721657,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269046,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269046,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
SRR35669967,ChIP-Seq,222,6334265616,PRJNA1336237,SAMN52066039,1958091607,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",PG,SRX30721656,uncalculated,uncalculated,missing,NextSeq 2000,GSM9269045,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2025-09-29T20:24:00Z,1,GSM9269045,embryo,SRP629632,,,,H3K4me3,Zygote,embryo,1
